Himanshi Khurana,9.8
Bishnu Adhikari,9.8
Dariana Jozh,9.8
Gabriel Buitrago,9.8
Darwing,9.8
Angibell,9.8
Colin Ross,9.7
Walter Nudo,9.7
Ian Poland,9.7
Sumaya Syed,9.7
Sravan,9.7
Abhinay,9.7
Sharat Kumar,9.7
Naresh Byreddy,9.7
Abhishek Vinod,9.5
Clint Boevers,9.5
Jillian Brown,9.5
Matt Anderson,9.5
Cody Croskrey,9.5
Connor Barr,9.4
Ayden Callaghan,9.4
Nigel Boyle,9.4
Shaukat Akbar,9.4
Leon Bearman,9.4
Suchanda,9.4
Anand,9.3
Daniel Keith,9.3
Stefy Patel,9.3
Robert Hemen,9.3
Piper Dellums,9.3
Danny Ogle,9.3
Rufus Tanksley,9.3
Laural Merlington,9.3
Tom McLaren,9.3
James Patrick Nelson,9.3
Tony Triano,9.3
Miles Petit,9.3
Jerimiyah Dunbar,9.3
Renu Soundar,9.2
Shanthi Anand,9.2
Jason Chacko,9.2
Amith,9.2
Rob Franco,9.2
Monisha Gowda,9.2
Hamsa Gowda,9.2
Badrish Chhabra,9.2
Savannah Welch,9.2
Kavitha Bist,9.2
Vihaan,9.2
Amith Lokesh,9.2
Kathy Valentine,9.2
Naveen D. Padil,9.2
Sangeetha Bhat,9.2
Gulnaz Siganporia,9.2
Sunnyy Balloria,9.2
Gary Bland,9.2
Aryan Gowda,9.2
Neeraja,9.2
Adam Godley,9.2
Gowtham,9.2
Mensur Safqiu,9.1
Fatmire Sahiti,9.1
Kevin D. Benton,9.1
Svetla Todorova,9.1
Bella Dontine,9.1
Partho Barua,9.1
Malathesh,9.1
Wafda Saifan Lubis,9.1
Loki,9.1
Ed Aristone,9.1
James Robinson Jr.,9.1
Bijori Barkatullah,9.1
Sofiya Kuzeva,9.1
Medha Manjrekar,9.1
Githanjali,9.1
Masuma Rahman Nabila,9.1
Radha Bessy,9.0
Giorgi Megrelishvili,9.0
Edie Mirman,9.0
Abel Peter,9.0
Leonie,9.0
Arun Govil,9.0
Carl,9.0
Anjali Ameer,9.0
Bobby Beshro,9.0
Ana Tsereteli,9.0
Karthik Rathnam,9.0
Arran,9.0
Dinesh Panicker,9.0
Roshan Ravindra,9.0
Rezo Chkhikvishvili,9.0
Rael Padamsee,9.0
Subba Rao Vepada,9.0
Dan,9.0
Praneeta Patnaik,9.0
Nipun,9.0
Malavika,9.0
Gogi Turkiashvili,9.0
Rahul Lakshman,9.0
Sheikh Rasheed,9.0
Menaka Peiris,9.0
Daphna Rosenthal,8.9
Boris Tsipuria,8.9
